id,created_at,author_id,text,clean_text,Kategori
1975103377953673567,2025-10-06 07:38:35+00:00,161251950,"@ARSIPAJA Dari dulu sumber air IKN ya minim, makanya dibuat bendungan Sepaku Semoi lengkap dengan Sistem Penyediaan Air Minum (SPAM), dgn debit terpasang saat ini suplai air untuk IKN cukup hingga hingga 2030. Dgn perkembangan kota kedepan, ya tentu nanti perlu ditambah kapasitas SPAM nya","sumber air ikn ya minim, bendungan sepaku semoi lengkap sistem penyediaan air minum spam , dgn debit terpasang suplai air ikn 2030. dgn perkembangan kota kedepan, ya ditambah kapasitas spam nya",Positif
1975102585230303717,2025-10-06 07:35:26+00:00,1750590016567250944,Wakil Ketua DPR RI akan cek langsung kebakaran hunianpekerja di IKN dan pastikan penanganan cepat dan tuntas. https://t.co/PlOl2H6hib,wakil ketua dpr ri cek langsung kebakaran hunianpekerja ikn pastikan penanganan cepat tuntas.,Netral
1975102227900748140,2025-10-06 07:34:01+00:00,1691077889377345536,"@tekarok007 @aewin86 Semoga IKN juga begitu, 3 tahun lagi bisa ramai penghuni dan cepat berkembang kotanya","semoga ikn begitu, 3 ramai penghuni cepat berkembang kotanya",Netral
1975099972120109562,2025-10-06 07:25:03+00:00,1961339618793852928,Wakil Ketua DPR RI akan cek langsung kebakaran hunianpekerja di IKN dan pastikan penanganan cepat dan tuntas. https://t.co/goGomp8Pmz,wakil ketua dpr ri cek langsung kebakaran hunianpekerja ikn pastikan penanganan cepat tuntas.,Netral
1975099165601612208,2025-10-06 07:21:51+00:00,1749698965539553280,"Jokowi,demi egonya bangun IKN disaat kondisi rakyat yg sedang kesusahan.
Habibie mengesampingkan egonya dan menutup industri pesawat terbangnya karena melihat kondisi rakyat yg kesusahan.

Belajarlah dari mereka pak @prabowo 
Siapa diantara mereka yg pantas ditiru. https://t.co/b9iaJXvfP0","jokowi,demi egonya bangun ikn disaat kondisi rakyat yg kesusahan. habibie mengesampingkan egonya menutup industri pesawat terbangnya kondisi rakyat yg kesusahan. belajarlah yg ditiru.",Negatif
1975097370254958688,2025-10-06 07:14:43+00:00,1961341921982631936,Wakil Ketua DPR RI akan cek langsung kebakaran hunianpekerja di IKN dan pastikan penanganan cepat dan tuntas. https://t.co/oqOiaZF8WD,wakil ketua dpr ri cek langsung kebakaran hunianpekerja ikn pastikan penanganan cepat tuntas.,Netral
1975095170430595385,2025-10-06 07:05:58+00:00,1870664779616178176,"@G0LIATH87 Kalau saja saya ASN, saya dg senang hati mengajukan diri pindah ke IKN
Udara msh bersih, wilayah tertata, gada macet, tempat alami pasti msh byk yg bisa didatangi
Sayang bukan ASN😊","asn, dg senang hati mengajukan pindah ikn udara msh bersih, wilayah tertata, gada macet, alami msh byk yg didatangi sayang asn",Netral
1975094830729699675,2025-10-06 07:04:37+00:00,1417004714575548416,"Di episode BUMN Corner kali ini, kita akan mengajak Sobat BUMN menjelajahi salah satu proyek kebanggaan negeri: Bandar Udara Internasional Nusantara yang berlokasi di Ibu Kota Negara (IKN). 
#BUMNUntukIndonesia #BandaraNusantara https://t.co/Uf9L9m9egq","episode bumn corner kali ini, mengajak sobat bumn menjelajahi salah proyek kebanggaan negeri bandar udara internasional nusantara berlokasi kota negara ikn .",Netral
1975094757790732751,2025-10-06 07:04:20+00:00,1735636779192233984,"@kompascom Spekulasi pertemuan Jokowi-Prabowo:
- Ijazah S1 nya &amp;  Ijazah SMA Gibran
- Nasib kabinet dari Geng Solo
- 2 periode (diharapkan Gibran Jadi Presiden &amp; Jokowi Jadi wapres saat Prabowo dinyatakan tdk sehat)
- Nasib proyeknya IKN &amp; lainnya
- korupsi Xmenterinya diduga dia terlibat",spekulasi pertemuan jokowi prabowo ijazah s1 nya amp ijazah sma gibran nasib kabinet geng solo 2 periode diharapkan gibran presiden amp jokowi wapres prabowo dinyatakan tdk sehat nasib proyeknya ikn amp korupsi xmenterinya diduga terlibat,Netral
1975089261411196947,2025-10-06 06:42:29+00:00,1835971990278307840,"Riset BRIN Ungkap Hanya 0,5% Air Tersedia di Permukaan IKN, Terancam Berebut Air Bersih   https://t.co/bem6uP2I4v","riset brin 0,5 air tersedia permukaan ikn, terancam berebut air bersih",Netral
1975087591222575576,2025-10-06 06:35:51+00:00,1184695438365974528,"@G0LIATH87 Seindah ini bisa ada yang bilang IKN mangkrak?
Kadang mereka itu harus belajar menerima kenyataan, kalau tidak semua sesuai dengan kayalannya.","seindah bilang ikn mangkrak? kadang belajar menerima kenyataan, sesuai kayalannya.",Negatif
1975086351612846359,2025-10-06 06:30:56+00:00,514876304,@w63043 @zinzang69 @ARSIPAJA Justru dengan adanya IKN masalah air di kalimantan akhirnya mendapat perhatian yg dulunya gak ada yg peduli,ikn air kalimantan perhatian yg dulunya gak yg peduli,Netral
1975085150766768207,2025-10-06 06:26:09+00:00,1100628763065217024,@idextratime Mahal doang tapi ga guna. Kayak IKN,mahal doang ga guna. kayak ikn,Negatif
1975084846159630732,2025-10-06 06:24:57+00:00,475749973,"@ARSIPAJA Mba Rara diangkat jd pns ikn aja, suruh stay disana pamggilin hujan tiap hari 🥴","mba rara diangkat jd pns ikn aja, suruh stay disana pamggilin hujan",Netral
1975082655726424089,2025-10-06 06:16:15+00:00,1501925402930909185,@KangManto123 Lagi lihatin investor IKN yang antri mengular😂😂,lihatin investor ikn antri mengular,Negatif
1975081141343490345,2025-10-06 06:10:13+00:00,1810701877652410368,"Yusri: Penataan Kabel Bawah Tanah Bukti Komitmen Balikpapan Jadi Kota Penyangga IKN
https://t.co/hGCMCKdQoe",yusri penataan kabel tanah bukti komitmen balikpapan kota penyangga ikn,Netral
1975080800430506021,2025-10-06 06:08:52+00:00,1502496454245425154,@ARSIPAJA Bodo amat...emang siapa suruh ngotot bangun IKN...,bodo amat...emang suruh ngotot bangun ikn...,Negatif
1975080767891161420,2025-10-06 06:08:44+00:00,1854729492939653121,"Komisi III DPRD Balikpapan Dorong Standar Infrastruktur Setara IKN
https://t.co/4NZ4mLIzQb",komisi iii dprd balikpapan dorong standar infrastruktur setara ikn,Netral
